AnimalID,License Number,License Number 2,Deadline,Deadline 2,Name,Name 2,ID1,ID2,Business Number,Business Number 2,Animal Name,Animal Name 2,Level,Level 2,Objective,Objective 2,Original,Original 1,Stamp And Sign,Stamp And Sign 2
ARa,PL-124,PL-157,2022/11/25,2022/11/26,聶小情,李靜,P32357,P31831,48428451,54723882,Astrochelys radiata,,I,,非商業繁殖,非商業繁殖,馬達加斯加,,I_Stamp_5,
ARb,PL-067,PL-068,2022/11/25,2022/11/26,楊展,殷霜黃,P31832,P31833, , ,Astrochelys radiata,,I,,寵物,寵物,馬達加斯加,,I_Stamp_5,
ARaF,PL-124,PL-157,2022/11/25,2022/11/26,聶小情,李靜,P32357,none,48428451,54723882,Astrochelys radiata,,I,,非商業繁殖,非商業繁殖,馬達加斯加,,I_Stamp_5,
ARbF,PL-067,PL-068,2022/11/25,2022/11/26,楊展,OvO@gmail,P31832,P31833, , ,Astrochelys radiata,,I,,寵物,寵物,馬達加斯加,,I_Stamp_5,
BJa,CL-005,CL-058,2022/11/2,2023/1/20,梁静如,高八斗,P14223,P48228,45678963,27394239,Bombycilla japonica,,III,,販售,繁殖,吉林,,I_Stamp_5,
BJb,PL-069,PL-070,2023/1/19,2023/1/20,蕭邦雨,程尚虛,P48229,P48230, , ,Bombycilla japonica,,III,,寵物,寵物,吉林,,I_Stamp_5,
BJaF,CL-005,CL-058,2022/11/2,2023/1/20,梁静如,高八斗,P14223,P48228,45678963,27394239,Bombycilla japonica,,III,,販售,繁殖,吉林,,I_Stamp_5,
BJbF,PL-069,PL-070,2023/1/19,2023/1/20,蕭邦雨,程尚虛,P48229,P48230, , ,Bombycilla japonica,,III,,寵物,寵物,吉林,,I_Stamp_5,
BBa,CL-059,CL-030,2023/1/21,2023/1/22,農亮丹,金助掌,P31211,P43549,56756692,72492042,Bubo bubo,,II,,販售,販售,斯堪的纳维亚,,I_Stamp_5,
BBb,PL-071,PL-072,2023/1/21,2023/1/22,蔡翔純,林彥帆,P923420,P923421, , ,Bubo bubo,,II,,寵物,寵物,斯堪的纳维亚,,I_Stamp_5,
BBaF,CL-059,CL-030,2023/1/21,2023/1/22,農亮丹,金助掌,P31211,P43549,56756692,72492042,Bubo bubo,,II,,販售,販售,斯堪的纳维亚,,I_Stamp_5,I_Stamp_6
BBbF,PL-071,PL-072,2023/1/21,2023/1/22,蔡翔純,林彥帆,P923420,P923421, , ,Bubo bubo,Bubo virginianus,II,,寵物,寵物,斯堪的纳维亚,,I_Stamp_5,
PRa,CL-051,CL-060,2023/2/23,2023/2/24,劉海民,李依婷,P78421,P49392,92718391,13822391,Phidippus regiu,,II,,販售,繁殖,佛羅里達,,I_Stamp_5,
PRb,PL-073,PL-074,2023/2/23,2023/2/24,賴筱婷,林政廷,P48331,P48332, , ,Phidippus regiu,,II,,寵物,寵物,佛羅里達,,I_Stamp_5,
PRaF,CL-051,CL-060,2023/2/23,2023/2/24,劉海民,李依婷,P78421,P49392,92718391,13822391,Phidippus regiu,,II,,販售,繁殖,佛羅里達,,I_Stamp_5,
PRbF,PL-073,PL-074,2023/2/23,2023/2/24,賴筱婷,林政廷,P48331,P48332, , ,Phidippus regiu,,I,II,非商業繁殖,寵物,佛羅里達,,I_Stamp_5,
AYa,PL-161,PL-162,2023/2/9,2023/2/10,吳嘉瑋,鄭雅彬,P27283,P27284,24733322,58392321,Astrochelys yniphora,,I,,非商業繁殖,非商業繁殖,馬達加斯加,,I_Stamp_5,
AYb,PL-075,PL-076,2023/2/9,2023/2/10,黃昆霖,王佳穎,P27285,P27286, , ,Astrochelys yniphora,,I,,寵物,寵物,馬達加斯加,,I_Stamp_5,
AYaF,PL-161,PL-162,2023/2/9,2023/2/10,吳嘉瑋,鄭雅彬,P27283,P27284,24733322,58392321,Geochelone platynota,Astrochelys yniphora,I,Il,非商業繁殖,繁殖,馬達加斯加,,I_Stamp_5,
AYbF,PL-075,PL-076,2023/2/9,2023/2/10,黃昆霖,王佳穎,P27285,P27286, , ,Astrochelys yniphora,,I,,寵物,寵物,馬達加斯加,,I_Stamp_5,
